ear,mear,no_detection,angry,happy,neutral,sad,scared,surprised,disgust,engagement
0.309642209,0.087851977,0,0,0,1,0,0,0,0,2
0.332861281,0.088819382,1,0,0,0,0,0,0,0,0
0.194398022,0.082212147,0,0,0,1,0,0,0,0,2
0.302531254,0.077222424,0,0,0,0,0,1,0,0,1
0.245486928,0.071416719,0,0,1,0,0,0,0,0,2
0.171144489,0.084497415,0,0,0,1,0,0,0,0,1
0.152656561,0.066502366,0,0,1,0,0,0,0,0,2
0.410631062,0.075201841,0,0,1,0,0,0,0,0,0
0.27317045,0.055531069,0,0,0,1,0,0,0,0,0
0.310882384,0.053853406,0,0,1,0,0,0,0,0,2
0.268495426,0.078115465,0,0,0,1,0,0,0,0,0
0.240471426,0.07252513,0,0,0,1,0,0,0,0,1
0.230035825,0.033285113,0,0,1,0,0,0,0,0,2
0.23022359,0.096365059,0,0,0,1,0,0,0,0,2
0.192065488,0.096728107,0,0,0,1,0,0,0,0,1
0.212148952,0.071856969,1,0,0,0,0,0,0,0,0
0.224198412,0.063320091,0,0,0,1,0,0,0,0,0
0.171160695,0.079519282,0,0,0,1,0,0,0,0,0
0.202974814,0.072873397,0,0,0,1,0,0,0,0,2
0.221990607,0.089526242,0,0,0,1,0,0,0,0,1
0.185557437,0.187987816,0,0,0,1,0,0,0,0,1
0.32692966,0.100383097,0,0,1,0,0,0,0,0,2
0.139232348,0.08210922,0,0,0,1,0,0,0,0,1
0.193233102,0.166604897,0,0,0,1,0,0,0,0,2
0.430399034,0.111452194,0,1,0,0,0,0,0,0,1
0.261700633,0.056790459,0,0,0,1,0,0,0,0,0
0.192643731,0.075330873,1,0,0,0,0,0,0,0,0
0.290401075,0.066847077,0,0,1,0,0,0,0,0,0
0.14319122,0.0918022,0,0,0,1,0,0,0,0,1
0.215845357,0.065061838,1,0,0,0,0,0,0,0,0
0.17485106,0.080209091,0,0,0,1,0,0,0,0,1
0.160420225,0.172704657,0,0,0,1,0,0,0,0,2
0.171679416,0.071909122,1,0,0,0,0,0,0,0,0
0.260270325,0.095375604,0,0,0,1,0,0,0,0,0
0.256267126,0.090712723,0,0,1,0,0,0,0,0,2
0.199188889,0.08525543,1,0,0,0,0,0,0,0,0
0.312596628,0.06567055,0,0,0,1,0,0,0,0,0
0.259922009,0.06696757,0,0,0,1,0,0,0,0,0
0.23746529,0.051212165,0,0,0,1,0,0,0,0,0
0.179327261,0.118105225,0,0,0,1,0,0,0,0,1
0.223314828,0.077417992,0,0,1,0,0,0,0,0,2
0.220383359,0.078146246,0,0,0,1,0,0,0,0,0
0.238174825,0.070801879,0,0,1,0,0,0,0,0,2
0.331930479,0.077576611,1,0,0,0,0,0,0,0,2
0.233306347,0.062907726,0,0,0,1,0,0,0,0,0
0.324561036,0.063253721,0,0,0,1,0,0,0,0,0
0.208605529,0.072765896,0,0,0,1,0,0,0,0,2
0.291305893,0.092919472,0,0,1,0,0,0,0,0,1
0.460040039,0.115548569,0,1,0,0,0,0,0,0,1
0.172327405,0.095564852,0,0,0,1,0,0,0,0,1
0.211055381,0.089189486,0,0,0,1,0,0,0,0,1
0.317502449,0.077346911,0,0,0,1,0,0,0,0,2
0.508503816,0.095049435,0,0,0,1,0,0,0,0,0
0.158779133,0.080411672,0,0,0,1,0,0,0,0,2
0.192849629,0.073772578,0,0,0,1,0,0,0,0,2
0.476867527,0.120488273,0,0,1,0,0,0,0,0,0
0.230939974,0.086726216,0,0,0,1,0,0,0,0,1
0.275305578,0.059462372,0,0,0,0,1,0,0,0,1
0.183636604,0.084865912,1,0,0,0,0,0,0,0,0
0.265553448,0.097292673,0,0,1,0,0,0,0,0,2
0.225925716,0.087216404,0,0,0,1,0,0,0,0,1
0.261318409,0.068215624,0,0,0,1,0,0,0,0,0
0.374423261,0.072821017,0,0,1,0,0,0,0,0,0
0.27725071,0.078658729,0,0,0,1,0,0,0,0,0
0.212736574,0.095799198,0,0,0,1,0,0,0,0,1
0.323245445,0.059216061,0,0,0,0,0,1,0,0,2
0.203072633,0.076932551,0,0,1,0,0,0,0,0,2
0.22591284,0.095505681,0,0,1,0,0,0,0,0,2
0.135179871,0.082979665,0,0,0,1,0,0,0,0,2
0.195934797,0.052358708,0,0,0,0,0,1,0,0,1
