alpha_AF4,alpha_F8,alpha_F4,alpha_FC6,alpha_FC5,alpha_F3,alpha_F7,alpha_AF3,betal_AF4,betal_F8,betal_F4,betal_FC6,betal_FC5,betal_F3,betal_F7,betal_AF3,betah_AF4,betah_F8,betah_F4,betah_FC6,betah_FC5,betah_F3,betah_F7,betah_AF3,face_label,name,video,self,raw
0.037994,0.045612,0.057155,0.056461,0.0027834,0.016844,0.019569,0.015083,0.015081,0.065781,0.067823,0.11399,0.0059964,0.014696,0.0065,0.009215,0.0059983,0.017783,0.013946,0.030685,0.0102,0.012428,0.0069861,0.0065451,1,pang,part2,3,102
0.067637,0.055119,0.085543,0.062881,0.0038151,0.035626,0.058959,0.038423,0.062616,0.11307,0.069037,0.098062,0.0246,0.043108,0.056758,0.047259,0.040008,0.071236,0.080749,0.078609,0.02516,0.078709,0.019158,0.060567,1,pang,part2,3,103
0.082644,0.049283,0.15457,0.089053,0.0050627,0.063046,0.041797,0.072352,0.035143,0.091064,0.067017,0.10294,0.013954,0.050905,0.030246,0.03683,0.018517,0.045346,0.049106,0.060711,0.014659,0.038927,0.019381,0.025686,1,pang,part2,3,104
0.037597,0.019376,0.041874,0.030511,0.0016832,0.019688,0.021705,0.028913,0.019818,0.035386,0.034243,0.040422,0.011643,0.028635,0.020948,0.020418,0.021221,0.039469,0.047259,0.049752,0.017447,0.023439,0.019279,0.021796,1,pang,part2,3,105
0.024317,0.022936,0.065143,0.041545,0.0028255,0.0065623,0.02428,0.01299,0.025267,0.072394,0.065976,0.1155,0.010253,0.015671,0.015846,0.016822,0.0051343,0.014773,0.036074,0.01611,0.0072568,0.0071134,0.004455,0.0062537,1,pang,part2,3,106
0.045384,0.030882,0.062178,0.044769,0.0031842,0.029638,0.042641,0.030368,0.034589,0.086388,0.074461,0.098065,0.013703,0.043492,0.023542,0.037384,0.01863,0.037608,0.054485,0.043555,0.016104,0.044702,0.013857,0.029666,1,pang,part2,3,107
0.040423,0.031095,0.10701,0.079152,0.0017549,0.032723,0.021247,0.033271,0.027734,0.10251,0.12044,0.1829,0.01008,0.019331,0.01842,0.017612,0.020932,0.033194,0.057446,0.043891,0.019584,0.024917,0.017051,0.023117,1,pang,part2,3,108
0.054848,0.048944,0.11808,0.04947,0.0026897,0.042011,0.035205,0.045425,0.043754,0.098725,0.085107,0.065232,0.026592,0.033076,0.047042,0.031508,0.021342,0.035264,0.048034,0.03514,0.020956,0.034685,0.022439,0.025914,1,pang,part2,3,109
0.0577,0.033518,0.087686,0.053481,0.0033148,0.058055,0.038968,0.053382,0.033373,0.077727,0.08329,0.11734,0.012452,0.034622,0.023206,0.031178,0.037971,0.049144,0.084631,0.074721,0.036464,0.069403,0.032443,0.052628,1,pang,part2,3,110
0.047365,0.03136,0.10101,0.056241,0.0027236,0.055205,0.031268,0.048494,0.038236,0.075821,0.084224,0.10656,0.015857,0.042155,0.034085,0.037741,0.018534,0.038988,0.043924,0.062193,0.018818,0.02867,0.019786,0.020168,1,pang,part2,3,111
0.054705,0.036519,0.13368,0.090254,0.0038633,0.05681,0.028282,0.053006,0.030639,0.076401,0.07948,0.1016,0.014822,0.024809,0.017757,0.025559,0.017704,0.030493,0.027379,0.05313,0.017349,0.020951,0.013196,0.019048,1,pang,part2,3,112
0.063576,0.034764,0.093461,0.055275,0.003046,0.060462,0.049157,0.059658,0.085945,0.15491,0.14171,0.22001,0.02333,0.078635,0.056048,0.079941,0.035001,0.048477,0.070366,0.060882,0.033315,0.070418,0.034796,0.050524,1,pang,part2,3,113
0.039242,0.028774,0.15029,0.076233,0.0030398,0.03409,0.02952,0.034863,0.018389,0.053494,0.14698,0.1291,0.014128,0.042558,0.029752,0.021878,0.010659,0.017807,0.064256,0.042062,0.015324,0.025279,0.024123,0.013329,1,pang,part2,3,115
0.051062,0.053168,0.13701,0.10617,0.0036807,0.028537,0.029907,0.032712,0.026981,0.10742,0.076104,0.13784,0.013496,0.030108,0.019758,0.021139,0.012615,0.026004,0.03642,0.031248,0.010891,0.026298,0.013815,0.017073,1,pang,part2,3,117
0.056166,0.031058,0.090715,0.066248,0.0023272,0.042914,0.033111,0.044462,0.049755,0.095082,0.13453,0.14508,0.017611,0.037867,0.022234,0.043407,0.021783,0.039034,0.04837,0.059554,0.023125,0.028598,0.016813,0.024269,1,pang,part2,3,118
0.059022,0.053532,0.07149,0.073642,0.0027609,0.034979,0.047218,0.034445,0.065255,0.15562,0.10583,0.20386,0.024018,0.037167,0.055708,0.040149,0.029179,0.036258,0.055242,0.070719,0.031841,0.0519,0.024303,0.040701,1,pang,part2,3,119
0.032407,0.01793,0.054427,0.026481,0.0019826,0.020989,0.02726,0.021622,0.029601,0.072768,0.093277,0.13481,0.012812,0.035738,0.020876,0.027552,0.0091125,0.020847,0.04384,0.055951,0.0086137,0.016108,0.0049994,0.012066,1,pang,part2,3,120
0.033896,0.025398,0.13782,0.055582,0.0029125,0.023036,0.023765,0.023589,0.022548,0.055787,0.07573,0.10557,0.015046,0.029149,0.025988,0.021868,0.015529,0.02548,0.04138,0.026782,0.018213,0.022361,0.013982,0.018128,1,pang,part2,3,121
0.036438,0.02585,0.052204,0.040244,0.00086612,0.026473,0.018947,0.028867,0.026576,0.051145,0.083114,0.068313,0.008326,0.045914,0.019148,0.03305,0.013865,0.030384,0.049659,0.049487,0.010572,0.028474,0.012605,0.020644,1,pang,part2,3,122
0.034595,0.024565,0.062944,0.043049,0.0012422,0.011361,0.014865,0.018959,0.020863,0.053664,0.065533,0.11829,0.011029,0.014698,0.016205,0.014324,0.009806,0.01842,0.023733,0.034258,0.01184,0.023582,0.012287,0.013616,1,pang,part2,3,123
0.027701,0.0067118,0.036834,0.017854,0.0021933,0.049231,0.024338,0.036543,0.027073,0.043403,0.070161,0.093895,0.0095662,0.028766,0.013964,0.02812,0.025612,0.038828,0.0551,0.054384,0.020245,0.041301,0.017906,0.034431,1,pang,part2,3,124
0.010793,0.0021594,0.041539,0.0053163,0.00080645,0.011229,0.0039225,0.014703,0.011397,0.02404,0.039862,0.025429,0.0066269,0.01146,0.0056082,0.011671,0.010865,0.014669,0.024561,0.036023,0.011994,0.016148,0.0084241,0.014126,1,pang,part2,3,125
