alpha_AF4,alpha_F8,alpha_F4,alpha_FC6,alpha_FC5,alpha_F3,alpha_F7,alpha_AF3,betal_AF4,betal_F8,betal_F4,betal_FC6,betal_FC5,betal_F3,betal_F7,betal_AF3,betah_AF4,betah_F8,betah_F4,betah_FC6,betah_FC5,betah_F3,betah_F7,betah_AF3,face_label,name,video,self
0.15178,0.075187,0.29673,0.13604,0.0066831,0.1433,0.12938,0.13527,0.058511,0.11893,0.27572,0.18318,0.031823,0.21214,0.11388,0.12236,0.081551,0.10776,0.13175,0.12376,0.090006,0.12204,0.10272,0.0903,1,pang,part1,2
0.10206,0.067977,0.1224,0.059213,0.0070112,0.053983,0.11586,0.059831,0.08327,0.13616,0.097283,0.089992,0.061283,0.096136,0.15789,0.071161,0.037148,0.051975,0.13353,0.10662,0.067497,0.06925,0.11507,0.035869,1,pang,part1,2
0.02348,0.019455,0.070851,0.043734,0.0029752,0.022499,0.023838,0.017841,0.049751,0.12384,0.09306,0.16717,0.014352,0.057437,0.023231,0.047198,0.019591,0.043893,0.078983,0.070501,0.0252,0.025384,0.018369,0.021724,1,pang,part1,2
0.080015,0.048196,0.19097,0.10801,0.0039399,0.057059,0.043457,0.066189,0.057091,0.1347,0.18591,0.25681,0.045221,0.068423,0.068869,0.054804,0.053315,0.089482,0.18058,0.16103,0.05386,0.14239,0.034954,0.09802,1,pang,part1,2
0.10143,0.065694,0.18242,0.12505,0.0061239,0.084376,0.048102,0.089253,0.077869,0.2062,0.15937,0.33011,0.027426,0.058987,0.042389,0.058983,0.043337,0.06095,0.069354,0.095452,0.06575,0.054412,0.035308,0.049208,1,pang,part1,2
0.071528,0.0448,0.21031,0.11417,0.005894,0.12215,0.055887,0.095217,0.061267,0.18518,0.18578,0.23226,0.032561,0.05276,0.034043,0.050175,0.029064,0.048777,0.058649,0.070167,0.037681,0.034852,0.02483,0.032742,1,pang,part1,2
0.062771,0.029281,0.1402,0.040163,0.0055618,0.078832,0.093231,0.061963,0.066487,0.12028,0.13482,0.16306,0.031676,0.047162,0.071358,0.046731,0.029058,0.032291,0.066304,0.069042,0.068977,0.051745,0.068171,0.030924,1,pang,part1,2
0.065936,0.063432,0.15369,0.084734,0.0049997,0.036617,0.040563,0.03545,0.02917,0.10095,0.13718,0.16341,0.022268,0.035329,0.022397,0.026047,0.013814,0.032147,0.059754,0.058472,0.023589,0.015615,0.015406,0.014154,1,pang,part1,2
0.047437,0.02893,0.10602,0.039929,0.0035248,0.029963,0.043762,0.035103,0.033185,0.072606,0.070375,0.075992,0.018459,0.039079,0.038223,0.031645,0.021963,0.029036,0.056358,0.052921,0.04041,0.043175,0.019779,0.033046,1,pang,part1,2
0.036384,0.022897,0.10675,0.034979,0.0014245,0.029165,0.014591,0.033775,0.026261,0.059783,0.09749,0.072346,0.023647,0.026465,0.02263,0.022772,0.018732,0.038502,0.038361,0.061813,0.021801,0.027931,0.011336,0.020522,1,pang,part1,2
0.038334,0.024442,0.095446,0.05819,0.003259,0.040067,0.044961,0.030711,0.032128,0.084173,0.13566,0.14341,0.013862,0.033221,0.041211,0.030155,0.023121,0.03798,0.04427,0.051061,0.02982,0.026407,0.026355,0.021477,1,pang,part1,2
0.12166,0.073731,0.22773,0.14367,0.0050702,0.10253,0.07008,0.11004,0.063765,0.11954,0.10788,0.14849,0.037984,0.062639,0.084235,0.053025,0.078208,0.096413,0.099119,0.12026,0.070087,0.11539,0.056327,0.097586,1,pang,part1,2
0.14528,0.072154,0.14386,0.09927,0.0063323,0.079978,0.086494,0.099436,0.079419,0.13865,0.1171,0.19828,0.047393,0.069835,0.082602,0.062798,0.040339,0.084746,0.12802,0.15173,0.039409,0.089884,0.023159,0.06459,1,pang,part1,2
0.14256,0.049885,0.27832,0.097478,0.0099631,0.18865,0.10149,0.18215,0.11087,0.13252,0.26234,0.18894,0.041664,0.14843,0.082395,0.13233,0.099299,0.11366,0.22695,0.14646,0.11757,0.20523,0.12471,0.14157,1,pang,part1,2
0.22388,0.078484,0.27427,0.13264,0.0098942,0.22008,0.1198,0.24755,0.42305,0.55441,0.48224,0.43431,0.10286,0.51843,0.17994,0.49224,0.16606,0.20365,0.24826,0.30502,0.13963,0.29193,0.099585,0.22912,1,pang,part1,2
0.1941,0.058621,0.34367,0.12746,0.009056,0.21393,0.098757,0.23091,0.227,0.37299,0.30871,0.39356,0.066536,0.30563,0.095069,0.26956,0.20324,0.3006,0.44961,0.38015,0.12384,0.43207,0.0717,0.33413,1,pang,part1,2
0.051275,0.02467,0.14533,0.056349,0.0045625,0.045007,0.065858,0.050708,0.021259,0.034472,0.079159,0.092432,0.015709,0.028622,0.031712,0.022654,0.015456,0.036842,0.07338,0.069533,0.020366,0.029793,0.01222,0.021877,1,pang,part1,2
0.12781,0.072042,0.25186,0.16129,0.0065678,0.10852,0.035097,0.11721,0.077988,0.162,0.14203,0.2443,0.036873,0.087814,0.035137,0.078953,0.040393,0.058338,0.090565,0.14404,0.054241,0.071941,0.029379,0.057434,1,pang,part1,2
0.052613,0.031523,0.1843,0.069426,0.0027178,0.068383,0.032362,0.066494,0.04742,0.11775,0.092237,0.13026,0.02648,0.045385,0.024954,0.041858,0.021374,0.058381,0.065122,0.099771,0.033203,0.044805,0.011161,0.03128,1,pang,part1,2
0.09825,0.027643,0.11722,0.060394,0.0066187,0.14327,0.096691,0.12722,0.1705,0.2161,0.20707,0.22446,0.052469,0.14949,0.11856,0.15964,0.086175,0.11272,0.1497,0.24918,0.088671,0.11112,0.067866,0.10153,1,pang,part1,2
0.14507,0.099107,0.19456,0.15281,0.0069158,0.12806,0.084445,0.12742,0.098761,0.22451,0.22313,0.27854,0.033204,0.14561,0.073148,0.11741,0.049958,0.073575,0.13138,0.20168,0.071913,0.098009,0.058169,0.070294,1,pang,part1,2
0.17844,0.071644,0.31259,0.12364,0.011562,0.19742,0.11281,0.2119,0.13045,0.30608,0.27005,0.38049,0.028326,0.072315,0.070018,0.09616,0.042112,0.074171,0.099216,0.14161,0.059527,0.068039,0.040898,0.053474,1,pang,part1,2
0.098438,0.0562,0.20985,0.14604,0.0063907,0.090057,0.050516,0.10163,0.041732,0.1209,0.12621,0.21801,0.014694,0.03476,0.031916,0.035114,0.022561,0.036206,0.047291,0.087806,0.033371,0.028881,0.019613,0.026264,1,pang,part1,2
0.12761,0.085581,0.21637,0.15054,0.0057535,0.048812,0.077388,0.076094,0.080975,0.19364,0.17717,0.27017,0.029109,0.072027,0.071614,0.062825,0.029223,0.05178,0.090476,0.091744,0.031862,0.064223,0.025617,0.044529,1,pang,part1,2
0.15446,0.1694,0.19279,0.19193,0.004235,0.096825,0.061537,0.10184,0.086541,0.28531,0.17164,0.24433,0.029705,0.084873,0.071951,0.072078,0.076499,0.15032,0.13305,0.15865,0.075268,0.11561,0.058289,0.092913,1,pang,part1,2
0.10693,0.065138,0.10584,0.086342,0.0053954,0.069103,0.10049,0.082434,0.079681,0.13329,0.1642,0.22188,0.038677,0.065253,0.089441,0.064229,0.057702,0.080646,0.081471,0.11426,0.079209,0.064036,0.064489,0.057801,1,pang,part1,2
0.09667,0.08217,0.21709,0.15109,0.0012552,0.03881,0.036073,0.055852,0.052772,0.1532,0.10243,0.1874,0.011705,0.033711,0.035575,0.035649,0.036552,0.056306,0.081906,0.1401,0.046171,0.038003,0.026577,0.038409,1,pang,part1,2
0.020878,0.0267,0.10171,0.050329,0.0021121,0.0090651,0.022028,0.011889,0.015773,0.071885,0.045052,0.091186,0.0076079,0.015784,0.011746,0.011399,0.0063964,0.015712,0.019138,0.054238,0.023852,0.0097912,0.010023,0.0070948,1,pang,part1,2
